Alpha-2,Alpha-3,Country,country code,Country-Code,Date,Iso 3166-2,over 1% dates,Region,Region-Code,Sub-Region,Number of Records,Sub-Region-Code,Xmas Normalized,Xmas Pcnt
AU,AUS,Australia,AU,36,8/22/2017,ISO 3166-2:AU,,Oceania,9,Australia and New Zealand,1,53,0.000564550,0.001115111
NZ,NZL,New Zealand,NZ,554,8/22/2017,ISO 3166-2:NZ,,Oceania,9,Australia and New Zealand,1,53,0.000125093,0.001132776
DO,DOM,Dominican Republic,DO,214,8/22/2017,ISO 3166-2:DO,,Americas,19,Caribbean,1,29,1.463318994e-05,0.001072038
CR,CRI,Costa Rica,CR,188,8/22/2017,ISO 3166-2:CR,,Americas,19,Central America,1,13,2.989378020e-05,0.000655783
GT,GTM,Guatemala,GT,320,8/22/2017,ISO 3166-2:GT,,Americas,19,Central America,1,13,9.623213812e-06,0.000543318
HN,HND,Honduras,HN,340,8/22/2017,ISO 3166-2:HN,,Americas,19,Central America,1,13,4.742408341e-06,0.000512093
MX,MEX,Mexico,MX,484,8/22/2017,ISO 3166-2:MX,,Americas,19,Central America,1,13,0.000831222,0.000883445
NI,NIC,Nicaragua,NI,558,8/22/2017,ISO 3166-2:NI,,Americas,19,Central America,1,13,1.753030321e-06,0.000444356
PA,PAN,Panama,PA,591,8/22/2017,ISO 3166-2:PA,,Americas,19,Central America,1,13,7.371953821e-06,0.000678666
SV,SLV,El Salvador,SV,222,8/22/2017,ISO 3166-2:SV,,Americas,19,Central America,1,13,5.166826208e-06,0.000529977
CA,CAN,Canada,CA,124,8/22/2017,ISO 3166-2:CA,,Americas,19,Northern America,1,21,0.000519211,0.001093470
US,USA,United States of America,US,840,8/22/2017,ISO 3166-2:US,,Americas,19,Northern America,1,21,0.008163835,0.001600772
AR,ARG,Argentina,AR,32,8/22/2017,ISO 3166-2:AR,,Americas,19,South America,1,5,0.000229038,0.000775573
BO,BOL,Bolivia (Plurinational State of),BO,68,8/22/2017,ISO 3166-2:BO,,Americas,19,South America,1,5,3.838213754e-06,0.000400685
BR,BRA,Brazil,BR,76,8/22/2017,ISO 3166-2:BR,,Americas,19,South America,1,5,0.000652459,0.000754606
CL,CHL,Chile,CL,152,8/22/2017,ISO 3166-2:CL,,Americas,19,South America,1,5,0.000176060,0.000696071
CO,COL,Colombia,CO,170,8/22/2017,ISO 3166-2:CO,,Americas,19,South America,1,5,7.238169929e-05,0.000835546
EC,ECU,Ecuador,EC,218,8/22/2017,ISO 3166-2:EC,,Americas,19,South America,1,5,1.693058231e-05,0.000599602
PE,PER,Peru,PE,604,8/22/2017,ISO 3166-2:PE,,Americas,19,South America,1,5,0.000106483,0.000830623
PY,PRY,Paraguay,PY,600,8/22/2017,ISO 3166-2:PY,,Americas,19,South America,1,5,7.473445051e-06,0.000571041
UY,URY,Uruguay,UY,858,8/22/2017,ISO 3166-2:UY,,Americas,19,South America,1,5,5.849585385e-06,0.000347631
HK,HKG,Hong Kong,HK,344,8/22/2017,ISO 3166-2:HK,,Asia,142,Eastern Asia,1,30,4.820833381e-05,0.001608403
JP,JPN,Japan,JP,392,8/22/2017,ISO 3166-2:JP,,Asia,142,Eastern Asia,1,30,0.000101796,0.002434483
TW,TWN,"Taiwan, Province of China",TW,158,8/22/2017,ISO 3166-2:TW,,Asia,142,Eastern Asia,1,30,5.979678688e-05,0.001368483
ID,IDN,Indonesia,ID,360,8/22/2017,ISO 3166-2:ID,,Asia,142,South-Eastern Asia,1,35,0.000139652,0.001237952
MY,MYS,Malaysia,MY,458,8/22/2017,ISO 3166-2:MY,,Asia,142,South-Eastern Asia,1,35,8.087005663e-05,0.001311373
PH,PHL,Philippines,PH,608,8/22/2017,ISO 3166-2:PH,,Asia,142,South-Eastern Asia,1,35,0.000549058,0.002117251
SG,SGP,Singapore,SG,702,8/22/2017,ISO 3166-2:SG,,Asia,142,South-Eastern Asia,1,35,0.000104130,0.001417658
TH,THA,Thailand,TH,764,8/22/2017,ISO 3166-2:TH,,Asia,142,South-Eastern Asia,1,35,6.274003252e-06,0.000821228
CY,CYP,Cyprus,CY,196,8/22/2017,ISO 3166-2:CY,,Asia,142,Western Asia,1,145,3.506060641e-07,0.000418410
TR,TUR,Turkey,TR,792,8/22/2017,ISO 3166-2:TR,,Asia,142,Western Asia,1,145,6.576631645e-05,0.000554950
BG,BGR,Bulgaria,BG,100,8/22/2017,ISO 3166-2:BG,,Europe,150,Eastern Europe,1,151,1.162535897e-06,0.000292041
CZ,CZE,Czech Republic,CZ,203,8/22/2017,ISO 3166-2:CZ,,Europe,150,Eastern Europe,1,151,2.159917884e-05,0.000743782
HU,HUN,Hungary,HU,348,8/22/2017,ISO 3166-2:HU,,Europe,150,Eastern Europe,1,151,1.112712930e-05,0.000602039
PL,POL,Poland,PL,616,8/22/2017,ISO 3166-2:PL,,Europe,150,Eastern Europe,1,151,8.801134856e-05,0.000783729
SK,SVK,Slovakia,SK,703,8/22/2017,ISO 3166-2:SK,,Europe,150,Eastern Europe,1,151,3.921252033e-06,0.000537226
DK,DNK,Denmark,DK,208,8/22/2017,ISO 3166-2:DK,,Europe,150,Northern Europe,1,154,0.000296834,0.002093668
EE,EST,Estonia,EE,233,8/22/2017,ISO 3166-2:EE,,Europe,150,Northern Europe,1,154,3.192360478e-06,0.000528919
FI,FIN,Finland,FI,246,8/22/2017,ISO 3166-2:FI,,Europe,150,Northern Europe,1,154,0.000145363,0.001168592
GB,GBR,United Kingdom,GB,826,8/22/2017,ISO 3166-2:GB,,Europe,150,Northern Europe,1,154,0.001436618,0.001465512
IE,IRL,Ireland,IE,372,8/22/2017,ISO 3166-2:IE,,Europe,150,Northern Europe,1,154,9.701638853e-05,0.001437943
IS,ISL,Iceland,IS,352,8/22/2017,ISO 3166-2:IS,,Europe,150,Northern Europe,1,154,9.872328647e-06,0.000996807
LT,LTU,Lithuania,LT,440,8/22/2017,ISO 3166-2:LT,,Europe,150,Northern Europe,1,154,2.712583759e-06,0.000457285
LV,LVA,Latvia,LV,428,8/22/2017,ISO 3166-2:LV,,Europe,150,Northern Europe,1,154,4.299537523e-06,0.000561709
NO,NOR,Norway,NO,578,8/22/2017,ISO 3166-2:NO,,Europe,150,Northern Europe,1,154,0.000496587,0.002476465
SE,SWE,Sweden,SE,752,8/22/2017,ISO 3166-2:SE,,Europe,150,Northern Europe,1,154,0.001041115,0.002541371
AD,AND,Andorra,AD,20,8/22/2017,ISO 3166-2:AD,,Europe,150,Southern Europe,1,39,1.291706552e-07,0.000969663
ES,ESP,Spain,ES,724,8/22/2017,ISO 3166-2:ES,,Europe,150,Southern Europe,1,39,0.000451553,0.001175806
GR,GRC,Greece,GR,300,8/22/2017,ISO 3166-2:GR,,Europe,150,Southern Europe,1,39,4.954617274e-06,0.000560552
IT,ITA,Italy,IT,380,8/22/2017,ISO 3166-2:IT,,Europe,150,Southern Europe,1,39,0.000280854,0.001202550
MT,MLT,Malta,MT,470,8/22/2017,ISO 3166-2:MT,,Europe,150,Southern Europe,1,39,3.072416299e-06,0.000962948
PT,PRT,Portugal,PT,620,8/22/2017,ISO 3166-2:PT,,Europe,150,Southern Europe,1,39,3.043814225e-05,0.000670141
AT,AUT,Austria,AT,40,8/22/2017,ISO 3166-2:AT,,Europe,150,Western Europe,1,155,3.602015985e-05,0.000904142
BE,BEL,Belgium,BE,56,8/22/2017,ISO 3166-2:BE,,Europe,150,Western Europe,1,155,7.577704222e-05,0.001036068
CH,CHE,Switzerland,CH,756,8/22/2017,ISO 3166-2:CH,,Europe,150,Western Europe,1,155,6.232484113e-05,0.000853745
DE,DEU,Germany,DE,276,8/22/2017,ISO 3166-2:DE,,Europe,150,Western Europe,1,155,0.001321840,0.001604666
FR,FRA,France,FR,250,8/22/2017,ISO 3166-2:FR,,Europe,150,Western Europe,1,155,0.000269653,0.000805090
LI,LIE,Liechtenstein,LI,438,8/22/2017,ISO 3166-2:LI,,Europe,150,Western Europe,1,155,0,0
LU,LUX,Luxembourg,LU,442,8/22/2017,ISO 3166-2:LU,,Europe,150,Western Europe,1,155,1.559274338e-06,0.000595326
MC,MCO,Monaco,MC,492,8/22/2017,ISO 3166-2:MC,,Europe,150,Western Europe,1,155,0,0
NL,NLD,Netherlands,NL,528,8/22/2017,ISO 3166-2:NL,,Europe,150,Western Europe,1,155,0.000573933,0.001608489
AU,AUS,Australia,AU,36,8/23/2017,ISO 3166-2:AU,,Oceania,9,Australia and New Zealand,1,53,0.000578989,0.001131043
NZ,NZL,New Zealand,NZ,554,8/23/2017,ISO 3166-2:NZ,,Oceania,9,Australia and New Zealand,1,53,0.000127667,0.001132012
DO,DOM,Dominican Republic,DO,214,8/23/2017,ISO 3166-2:DO,,Americas,19,Caribbean,1,29,1.891427451e-05,0.001359458
CR,CRI,Costa Rica,CR,188,8/23/2017,ISO 3166-2:CR,,Americas,19,Central America,1,13,2.884196201e-05,0.000627699
GT,GTM,Guatemala,GT,320,8/23/2017,ISO 3166-2:GT,,Americas,19,Central America,1,13,1.082265561e-05,0.000593974
